Name,Phone,WhatsApp,Category,SearchArea,Address,Reviews,Priority,HasWebsiteOnMaps,Status,Notes
Wilbert Hardware And Interior Designers,+256778304640,https://wa.me/256778304640,Hardware store,Mbarara,Cleveland road Mbarara City North,2,Low,no,Not contacted,
Plaza Plumbing Suppliers Ltd (Fortportal),+256759771784,https://wa.me/256759771784,Building materials supplier,Fort Portal,Bwamba Rd,2,Low,no,Not contacted,
Cosmopolitan Engineering Services Limited,+256777555448,https://wa.me/256777555448,Construction company,Arua,Plot 12,2,Low,no,Not contacted,
Apex proficient plumbing and irregation services,+256702291176,https://wa.me/256702291176,Appliance parts supplier,Kampala,"office road, Bweyogere kiringa @ wakiso, Kito LC 1 Rd",1,Low,no,Not contacted,
Kyeyune Plumbing Hardware,+256783064507,https://wa.me/256783064507,Plumber,Kampala,,1,Low,no,Not contacted,
STS WATER SOLUTIONS,+256702892059,https://wa.me/256702892059,Plumber,Kampala,,1,Low,no,Not contacted,
Surefix Plumbers ug,+256789855237,https://wa.me/256789855237,Plumber,Kampala,Bulabira Rd,1,Low,no,Not contacted,
KASIM PLUMBING SERVICES LTD,+256756256495,https://wa.me/256756256495,Plumber,Kampala,KIWANGA,1,Low,no,Not contacted,
JJ PLUMBING SERVICES,+256708400706,https://wa.me/256708400706,Plumber,Kampala,,1,Low,no,Not contacted,
IDEAL PLUMBERS CO LTD,+256755284850,https://wa.me/256755284850,Plumber,Kampala,Kasangati Road Near Kira Roundabout,1,Low,no,Not contacted,
Mahad Plumbing Services,+256703434980,https://wa.me/256703434980,Plumbing supply store,Kampala,Jambula,1,Low,no,Not contacted,
Steamfitterplumbers co.ltd,+256756872100,https://wa.me/256756872100,Plumber,Kampala,kitunzi,1,Low,no,Not contacted,
"Kiasan Tech & Plumbing ""U"" Ltd",+256701913438,https://wa.me/256701913438,Plumber,Kampala,"opposite vivo energies, Eighth St",1,Low,no,Not contacted,
H2O plumbers.ug,+256744532297,https://wa.me/256744532297,Plumber,Kampala,kitunzi,1,Low,no,Not contacted,
JAMES PLUMBERS,+256700915478,https://wa.me/256700915478,Plumbing supply store,Kampala,Kikajjo Rd,1,Low,no,Not contacted,
Alemaant investments ltd,+256757714864,https://wa.me/256757714864,General contractor,Jinja,Cathedral road Bugembe,1,Low,no,Not contacted,
Induct Amptech Limited,+256753863490,https://wa.me/256753863490,Construction company,Jinja,Main St,1,Low,no,Not contacted,
Omillan multi- services ltd,+256706089000,https://wa.me/256706089000,Construction company,Jinja,Gokhale Rd,1,Low,no,Not contacted,
Kamuli Sustainable Energy Company Limited (KASECO),+256787239052,https://wa.me/256787239052,Plumber,Jinja,,1,Low,no,Not contacted,
William Plumbing Corner,+256776352307,https://wa.me/256776352307,Plumbing supply store,Jinja,Kampala Trade Center Building,1,Low,no,Not contacted,
Willis plumbing solutions,+256787882779,https://wa.me/256787882779,Plumber,Jinja,Bugema,1,Low,no,Not contacted,
Mahi Plumbing Suppliers Ltd,+256709163159,https://wa.me/256709163159,Hardware store,Jinja,14a Kibira Rd,1,Low,no,Not contacted,
Painter's and Plumber's world,+256772864949,https://wa.me/256772864949,Home builder,Jinja,8G9R+3P6,1,Low,no,Not contacted,
Capital Plumbers U Ltd,+256752891167,https://wa.me/256752891167,Plumber,Jinja,Mawanda Road Kamwokya,1,Low,no,Not contacted,
MAMERI WILS ENGINEERING LTD,+256776829918,https://wa.me/256776829918,Construction company,Gulu,Q7FQ+P7,1,Low,no,Not contacted,
Twoplex Design and Construction Ltd,+256789613991,https://wa.me/256789613991,Construction company,Gulu,,1,Low,no,Not contacted,
Mini Price Interiors,+256747578338,https://wa.me/256747578338,Plumbing supply store,Mbarara,Mackansigh St,1,Low,no,Not contacted,
Crew engineering services ltd,+256702590747,https://wa.me/256702590747,Plumber,Mbarara,,1,Low,no,Not contacted,
Cream General and Technical Services Ltd.,+256779549211,https://wa.me/256779549211,Construction company,Mbarara,"Plot 49, Kitunzi, Kakyeka Rd",1,Low,no,Not contacted,
Mugish Art Point Services,+256782537418,https://wa.me/256782537418,Construction company,Arua,Rhino Camp Rd,1,Low,no,Not contacted,
Flux engineering and technical services,+256751835670,https://wa.me/256751835670,Plumber,Mukono,Mukono,1,Low,no,Not contacted,
OM GENERAL HARDWARE LTD,+256706292920,https://wa.me/256706292920,Plumbing supply store,Mukono,Namanve Industrial Park,1,Low,no,Not contacted,
MIAH PLUMBING SERVICES,+256785410042,https://wa.me/256785410042,Plumber,Kampala,,0,Low,no,Not contacted,
Ngobya Technical Services,+256702324327,https://wa.me/256702324327,Plumber,Kampala,Kireka Kampala,0,Low,no,Not contacted,
Joseph plumbing and tiling solutions,+256780587031,https://wa.me/256780587031,Plumber,Kampala,Kakajjo,0,Low,no,Not contacted,
Timo plumbing services,+256703833469,https://wa.me/256703833469,Construction company,Kampala,bombay Kirinya-Bukasa Road,0,Low,no,Not contacted,
MatovuFrank,+256756984300,https://wa.me/256756984300,Plumber,Kampala,,0,Low,no,Not contacted,
Wap plumbing services,+256755384347,https://wa.me/256755384347,Plumbing supply store,Kampala,Old Butabika Rd,0,Low,no,Not contacted,
Brizzy plumbing company,+256757195824,https://wa.me/256757195824,Plumber,Kampala,,0,Low,no,Not contacted,
Atuhwere Plumbers Ltd,+256789557576,https://wa.me/256789557576,Plumber,Kampala,,0,Low,no,Not contacted,
Loyal plumbers Entebbe in,+256760385384,https://wa.me/256760385384,Plumber,Entebbe,Kampla Entebbe,0,Low,no,Not contacted,
JIMTEX MASTER PLUMBERS & BIO DIGESTER ENTEBBE,+256756034059,https://wa.me/256756034059,Plumber,Entebbe,Kabale Road,0,Low,no,Not contacted,
M & N PLUMBERS,+256706815515,https://wa.me/256706815515,Plumber,Entebbe,0000,0,Low,no,Not contacted,
Chap city plumbing solutions,+256756293282,https://wa.me/256756293282,Plumber,Entebbe,Lunnyo,0,Low,no,Not contacted,
Jvt expert plumbers,+256746314996,https://wa.me/256746314996,Engineering consultant,Entebbe,3F6F+X4W,0,Low,no,Not contacted,
SmartLink infrastructure and utilities,+256766051267,https://wa.me/256766051267,Plumber,Entebbe,Lulongo buwaya Katabi,0,Low,no,Not contacted,
Patrick plumbing solutions,+256703648473,https://wa.me/256703648473,Plumbing supply store,Entebbe,Busambaga Rd,0,Low,no,Not contacted,
Plop Plumbing Services,+256708137223,https://wa.me/256708137223,Plumber,Entebbe,,0,Low,no,Not contacted,
ARTEMIS WORKS UG LTD,+256772504301,https://wa.me/256772504301,Plumbing supply store,Entebbe,,0,Low,no,Not contacted,
MJ CONSTRUCTION COMPANY,+256756639088,https://wa.me/256756639088,Construction company,Entebbe,Nkumba,0,Low,no,Not contacted,
Ssenyonyi Graceline Construction Ltd,+256751500791,https://wa.me/256751500791,Construction company,Entebbe,Entebbe Division B,0,Low,no,Not contacted,
Misanvu Constructions & Works,+256759377292,https://wa.me/256759377292,Plumber,Entebbe,,0,Low,no,Not contacted,
Smith Construction Consultancy Agency,+256700304212,https://wa.me/256700304212,Construction company,Entebbe,"Nkumba, Kasenyi Road",0,Low,no,Not contacted,
KAREVER PLUMBERS,+256752176664,https://wa.me/256752176664,Plumbing supply store,Entebbe,Bwerenga Rd,0,Low,no,Not contacted,
Jab Concepts Ltd,+256772054064,https://wa.me/256772054064,Construction company,Entebbe,Kampala Road,0,Low,no,Not contacted,
Tile fixers Entebbe,+256755022242,https://wa.me/256755022242,Plumber,Entebbe,,0,Low,no,Not contacted,
Ssozi construction and plumbing company ltd,+256789161721,https://wa.me/256789161721,Construction company,Entebbe,Kawuku Entebbe road,0,Low,no,Not contacted,
LUKANGA PLUMBING SERVICES,+256703414494,https://wa.me/256703414494,Plumber,Entebbe,Entebbe Rd - Kawuku - Nakawuka Rd,0,Low,no,Not contacted,
Trust plumbing service center,+256705719437,https://wa.me/256705719437,Hardware store,Jinja,"Jinja, Iganga, Kaliro",0,Low,no,Not contacted,
Tonka Construction Company Limited,+256752501512,https://wa.me/256752501512,Construction company,Jinja,"C6M7+R28, Main St",0,Low,no,Not contacted,
UgaFIX,+256756355785,https://wa.me/256756355785,Plumber,Jinja,,0,Low,no,Not contacted,
PLUMBERS ARENA,+256753119807,https://wa.me/256753119807,Plumbing supply store,Jinja,"Mukono, Jinja road seeta",0,Low,no,Not contacted,
Sj classy plumbers,+256759597946,https://wa.me/256759597946,Plumber,Jinja,,0,Low,no,Not contacted,
Erycom Plumbing Services,+256787853377,https://wa.me/256787853377,Plumbing supply store,Jinja,,0,Low,no,Not contacted,
Lule Ronald (plumbing services),+256782342014,https://wa.me/256782342014,Social services organization,Jinja,,0,Low,no,Not contacted,
WB CONSTRUCTION AND FINISHING SERVICES,+256774843383,https://wa.me/256774843383,Plumber,Jinja,,0,Low,no,Not contacted,
PLUMBER'S JOY STORE,+256772508657,https://wa.me/256772508657,Home builder,Jinja,central ring road,0,Low,no,Not contacted,
Finest Plumbing Store,+256702727574,https://wa.me/256702727574,Store,Jinja,8H8J+3JH,0,Low,no,Not contacted,
MULTI STAR PLUMBERS,+256701809065,https://wa.me/256701809065,Plumbing supply store,Jinja,"9PF6+8CG, Bukerere Rd",0,Low,no,Not contacted,
Quality plumbers Kampala Uganda,+256760703005,https://wa.me/256760703005,Plumbing supply store,Jinja,"9JV6+576, Kungu Road",0,Low,no,Not contacted,
24HOURS PLUMBING,+256775192751,https://wa.me/256775192751,Plumber,Jinja,,0,Low,no,Not contacted,
PrimeLine Plumbing,+256790897090,https://wa.me/256790897090,Plumbing supply store,Jinja,"Namugongo, 25625",0,Low,no,Not contacted,
Smart Choice Plumber,+256759427714,https://wa.me/256759427714,Plumber,Jinja,"Kakoola, Ndejje Rd",0,Low,no,Not contacted,
Fs plumbing services,+256781885696,https://wa.me/256781885696,Plumber,Jinja,,0,Low,no,Not contacted,
Mubra Plumbing Solutions Ltd,+256753156261,https://wa.me/256753156261,Plumber,Jinja,,0,Low,no,Not contacted,
Palca plumbing shop,+256780141635,https://wa.me/256780141635,Plumbing supply store,Gulu,Bank Ln,0,Low,no,Not contacted,
PATEK BER TRADERS,+256779938116,https://wa.me/256779938116,Plumbing supply store,Gulu,queens avenue,0,Low,no,Not contacted,
Ediart creative solution,+256755695600,https://wa.me/256755695600,Construction company,Gulu,Acholi Rd,0,Low,no,Not contacted,
Quantum Infrastructure Consultants,+256773929101,https://wa.me/256773929101,Plumber,Gulu,,0,Low,no,Not contacted,
F & J PLUMBERS UGANDA LTD,+256770303317,https://wa.me/256770303317,Civil engineering company,Mbarara,Bucunku Road,0,Low,no,Not contacted,
William plumbing tools,+256775064022,https://wa.me/256775064022,Water treatment supplier,Mbarara,Central street,0,Low,no,Not contacted,
Quality Plumbing Shop,+256704238268,https://wa.me/256704238268,Plumber,Mbarara,,0,Low,no,Not contacted,
Perez Excel Plumbing Shop and Services,+256789531815,https://wa.me/256789531815,Plumbing supply store,Mbarara,Kiyanja Kamukuzi Division,0,Low,no,Not contacted,
BUM PLUMBING & WATER SYSTEMS Co. (U) Ltd,+256771690927,https://wa.me/256771690927,Corporate office,Mbarara,Pilkington Road,0,Low,no,Not contacted,
PIUSTIC CONSTRUCTION AND COMPOUND DESIGNERS,+256776408470,https://wa.me/256776408470,Construction company,Mbarara,Ankole and surrounding regions,0,Low,no,Not contacted,
Mutaho civil and electrical engineering company ltd,+256772582608,https://wa.me/256772582608,Construction company,Mbarara,"Adit building, Mbarara - Masaka Rd",0,Low,no,Not contacted,
Tushak Technical Services Ltd,+256775001924,https://wa.me/256775001924,Construction company,Mbarara,"NYAMITANGA DIVISION, KATETE",0,Low,no,Not contacted,
"Modern ceramics, Tiles & plumbing outlet",+256784130953,https://wa.me/256784130953,Plumber,Mbarara,,0,Low,no,Not contacted,
Genesis Plumbing SOLNS,+256707092448,https://wa.me/256707092448,Plumber,Mbarara,,0,Low,no,Not contacted,
Shafik plumbing services kyegegwa,+256777135251,https://wa.me/256777135251,Plumbing supply store,Fort Portal,Kyegegwa,0,Low,no,Not contacted,
O' GUZI PLUMBING SOLUTIONS,+256786685628,https://wa.me/256786685628,Consultant,Lira,"LORO, Oyam Rd",0,Low,no,Not contacted,
BOKES PLUMBING HARDWARE,+256772292610,https://wa.me/256772292610,Plumbing supply store,Lira,Plot 24 Aroma Lane,0,Low,no,Not contacted,
EBERAH,+256786990972,https://wa.me/256786990972,Handyman,Lira,Kirimbe north B,0,Low,no,Not contacted,
Sovy Engineering works,+256774620255,https://wa.me/256774620255,Plumber,Lira,,0,Low,no,Not contacted,
mass plumbing and tiles hardware lira,+256777882507,https://wa.me/256777882507,Plumbing supply store,Lira,Olwol Rd,0,Low,no,Not contacted,
EGONGA PLUMBING SOLUTIONS- IGANGA,+256759776500,https://wa.me/256759776500,Plumber,Iganga,"IGANGA- NAKALAMA, VIA TIRINYI ROAD",0,Low,no,Not contacted,
Sight two business link,+256752584861,https://wa.me/256752584861,Plumber,Iganga,,0,Low,no,Not contacted,
EZEK CONTRACTORS LIMITED,+256785250276,https://wa.me/256785250276,Construction company,Tororo,"Osukuru along, Busia - Tororo",0,Low,no,Not contacted,
Innovation plumbing shop,+256786772166,https://wa.me/256786772166,Plumber,Soroti,"Opposite police barracks, old bus park",0,Low,no,Not contacted,
WATER TECH PLUMBING CONTRACTORS,+256781469952,https://wa.me/256781469952,Plumbing supply store,Soroti,Soroti- Dokolo Road,0,Low,no,Not contacted,
MAC'DONALDS HARDWARES,+256786593152,https://wa.me/256786593152,Plumbing supply store,Soroti,Popatlal road Solot avenue,0,Low,no,Not contacted,
JIM-TECH ENGINEERS' LTD,+256785984304,https://wa.me/256785984304,Construction company,Soroti,market,0,Low,no,Not contacted,
Sunsilk Ltd,+256757614014,https://wa.me/256757614014,Hardware store,Jinja,42 Oboja Rd,62,High,yes,Not contacted,
Elisa Urban Works ltd,+256776542114,https://wa.me/256776542114,Plumber,Kampala,Luwum St,49,High,yes,Not contacted,
Shukuran Plumbers Uganda Limited,+256701007500,https://wa.me/256701007500,Plumbing supply store,Kampala,"Nakivubo Trading Centre Building, Allen road, and Nakivubo Rd",43,High,yes,Not contacted,
Veepo Plumbing Solutions co.Ltd,+256755198429,https://wa.me/256755198429,Plumber,Kampala,,37,High,yes,Not contacted,
Plaza Plumbing Suppliers Ltd,+256772671727,https://wa.me/256772671727,Building materials supplier,Kampala,"GR Plaza, Industrial Area Sixth Street",37,High,yes,Not contacted,
HAGA WATER LIMITED,+256780498580,https://wa.me/256780498580,Plumber,Kampala,"spot complex, kasangati",33,High,yes,Not contacted,
Dmkw Company,+256783158385,https://wa.me/256783158385,Housing cooperative,Mukono,Ssonde Rd,33,High,yes,Not contacted,
Propel Construction & General Supplies Ltd,+256786330612,https://wa.me/256786330612,Construction company,Gulu,Odida Road,23,High,yes,Not contacted,
Kizito Plumbing Solutions,+256709498519,https://wa.me/256709498519,Plumber,Jinja,Salaama Rd,19,Medium,yes,Not contacted,
Kampala Plumber and Construction,+256709262264,https://wa.me/256709262264,Plumber,Kampala,,15,Medium,yes,Not contacted,
Hydro Concepts Uganda Limited,+256705973161,https://wa.me/256705973161,Drainage service,Kampala,Kulpoint company Uganda limited,14,Medium,yes,Not contacted,
Divo Plumbing Services,+256742832654,https://wa.me/256742832654,Plumber,Kampala,,12,Medium,yes,Not contacted,
TURSH WATERTECH UGANDA LTD,+256700852115,https://wa.me/256700852115,Plumber,Kampala,,9,Medium,yes,Not contacted,
KJ PLUMBING SOLUTION,+256705063078,https://wa.me/256705063078,Plumber,Kampala,,9,Medium,yes,Not contacted,
STELGAN ENGINEERING SOLUTION CO.LTD,+256778857786,https://wa.me/256778857786,Engineer,Entebbe,KAMPALA ENTEBBE ROAD,9,Medium,yes,Not contacted,
UNIQUE PLUMBERS UGANDA LTD,+256701897176,https://wa.me/256701897176,Construction company,Kampala,"Hass fuel station, Nalukolongo Opposite",6,Medium,yes,Not contacted,
NestCraft Construction,+256700870000,https://wa.me/256700870000,Construction company,Mbarara,"RUCSA Plaza, Mbarara - Masaka Rd",6,Medium,yes,Not contacted,
S AND J PLUMBERS UG LTD,+256704239784,https://wa.me/256704239784,Plumber,Kampala,"Luzira old, Port Bell Rd",5,Medium,yes,Not contacted,
PLENCO PLUMBING AND ENGINEERING COMPANY,+256751503292,https://wa.me/256751503292,Plumber,Jinja,"8HH6+QG8, kiwunya Rd",5,Medium,yes,Not contacted,
Mocak General Hardware,+256701284661,https://wa.me/256701284661,Plumbing supply store,Mbarara,Makhan Singh Street,5,Medium,yes,Not contacted,
VIBRANT PLUMBER'S U LTD,+256781668997,https://wa.me/256781668997,Plumber,Kampala,"market, Market St",2,Low,yes,Not contacted,
BATABAIRE CONSTRUCTIONS JINJA,+256756352289,https://wa.me/256756352289,Construction company,Jinja,complex,2,Low,yes,Not contacted,
Santana Construction Uganda,+256784403136,https://wa.me/256784403136,Construction company,Jinja,Wakoli Road,2,Low,yes,Not contacted,
Raphael plumber,+256753121414,https://wa.me/256753121414,Plumber,Kampala,Nakawa,1,Low,yes,Not contacted,
Drainteck Plumbers Limited,+256703910258,https://wa.me/256703910258,Home help service agency,Kampala,plot 23B Robert Mugabe Rd,1,Low,yes,Not contacted,
ForYou plumbing contractors,+256758919593,https://wa.me/256758919593,Plumber,Kampala,Gayaza -Kampala Rd,1,Low,yes,Not contacted,
G7 PLUMBING EXPERTS,+256773996497,https://wa.me/256773996497,Plumber,Kampala,,1,Low,yes,Not contacted,
Yesu Afayo Contractors Company,+256787918248,https://wa.me/256787918248,Construction company,Entebbe,Entebbe,1,Low,yes,Not contacted,
SUNDEX PLUMBING SOLUTIONS U LTD,+256709739812,https://wa.me/256709739812,Plumbing supply store,Jinja,Zaid Complex Arua Park,1,Low,yes,Not contacted,
Blessed plumbers located in nakawuka,+256789603354,https://wa.me/256789603354,Plumber,Jinja,Nakawuka,1,Low,yes,Not contacted,
Avant-Garde Distributors Mbarara,+256752626513,https://wa.me/256752626513,Water pump supplier,Mbarara,"Mackansighn Street, Plot 7/9",1,Low,yes,Not contacted,
Avant-Garde Distributors Arua,+256752627456,https://wa.me/256752627456,Water pump supplier,Arua,"Arua Central Market, Main Entrance Shop No: 1",1,Low,yes,Not contacted,
Kakulu Plumbers office,+256776972585,https://wa.me/256776972585,Plumber,Kampala,9JHG+8QQ,0,Low,yes,Not contacted,
Elly Chfy Plumbers,+256726464327,https://wa.me/256726464327,Plumber,Entebbe,,0,Low,yes,Not contacted,
KANGE SERVICES LTD,+256769058951,https://wa.me/256769058951,Construction company,Entebbe,Katabi Town Council,0,Low,yes,Not contacted,
DEMBA BROADWAY CONTRACTORS,+256772622677,https://wa.me/256772622677,Construction company,Entebbe,Busambaga Rd,0,Low,yes,Not contacted,
CMTengineersHUB,+256758070203,https://wa.me/256758070203,Plumber,Jinja,,0,Low,yes,Not contacted,
Benalfa Engineering Services Limited,+256774087057,https://wa.me/256774087057,Plumber,Jinja,,0,Low,yes,Not contacted,
Avant-Garde Distributors Jinja,+256750980631,https://wa.me/256750980631,Water pump supplier,Jinja,Napier road Opposite JCB Plaza,0,Low,yes,Not contacted,
SKL CONSTRUCTIONS LTD,+256707127651,https://wa.me/256707127651,Construction company,Jinja,Kampala - Jinja Hwy,0,Low,yes,Not contacted,
EDITH AND SONS HARDWARE SOLUTIONS,+256730578563,https://wa.me/256730578563,Plumber,Jinja,,0,Low,yes,Not contacted,
MEDIWA GENERAL HOLDINGS LIMITED,+256785191280,https://wa.me/256785191280,Construction company,Gulu,Pece Laroo Division,0,Low,yes,Not contacted,
Avant-Garde Distributors Gulu,+256752626375,https://wa.me/256752626375,Water pump supplier,Gulu,Awich road Opposite Main Bus Park,0,Low,yes,Not contacted,
DUSMAN CONTRACTORS,+256788688512,https://wa.me/256788688512,Construction company,Mbarara,Mbarara - Masaka Rd,0,Low,yes,Not contacted,
Akatare Jenga Stores Ltd,+256781922138,https://wa.me/256781922138,Construction material wholesaler,Mbarara,Kabale - Mbarara Rd,0,Low,yes,Not contacted,
Arua Biodigesters,+256794706171,https://wa.me/256794706171,Plumber,Arua,,0,Low,yes,Not contacted,
