Name,Segment,Phone,WhatsApp,Category,SearchArea,Address,Reviews,Priority,HasWebsiteOnMaps,Status,Notes
Jimmy lines international limited,Consultancy,+256776706473,https://wa.me/256776706473,Human resource consulting,Kampala,8JVX+H23,2,Low,no,Not contacted,
Aryami Consults,Consultancy,+256700170635,https://wa.me/256700170635,Investment company,Entebbe,Research Rd,2,Low,no,Not contacted,
MERAVEE CONSULTANTS,Consultancy,+256701531418,https://wa.me/256701531418,Consultant,Jinja,Plot 5 Main St,2,Low,no,Not contacted,
Creative Maven Educational Consultancy,Consultancy,+256703698694,https://wa.me/256703698694,Educational consultant,Mukono,9P87+6RG,2,Low,no,Not contacted,
Pamike Engineering Limited,Consultancy,+256778253436,https://wa.me/256778253436,Engineering consultant,Gulu,"Plot 14/16 Hotel Roma Building, Coronation Rd",2,Low,no,Not contacted,
Mshilla M&B Consultants Ltd,Consultancy,+256772864642,https://wa.me/256772864642,Business management consultant,Gulu,"Q7FX+FHG, Bank Ln",2,Low,no,Not contacted,
Alidade consultants limited,Consultancy,+256785308429,https://wa.me/256785308429,Agricultural service,Lira,"Bazaar road, Renzo city house",2,Low,no,Not contacted,
Spencer Associated Advocates,Consultancy,+256743163737,https://wa.me/256743163737,Law firm,Iganga,Plot 21 Independence Road,2,Low,no,Not contacted,
Geostatic Surveys and Engineering Consultants Limited,Consultancy,+256779966553,https://wa.me/256779966553,Engineering consultant,Tororo,Plot 2 Kashmir Street,2,Low,no,Not contacted,
REU CONSULTANTS LIMITED,Consultancy,+256780852953,https://wa.me/256780852953,Land surveying office,Soroti,Main Street,2,Low,no,Not contacted,
Mias Civil Engineering and Telecommunication Services,Consultancy,+256772916513,https://wa.me/256772916513,Engineering consultant,Kampala,Jinja rd highway,1,Low,no,Not contacted,
NOBLE RESEARCH & DATA SOLUTIONS,Consultancy,+256781546471,https://wa.me/256781546471,Consultant,Kampala,,1,Low,no,Not contacted,
Douglas Academic Consultancy,Consultancy,+256751800214,https://wa.me/256751800214,Educational consultant,Entebbe,Plot 32 Lunnyo Road,1,Low,no,Not contacted,
Mulondo Business Consults,Consultancy,+256786163482,https://wa.me/256786163482,Business management consultant,Jinja,Clive Rd,1,Low,no,Not contacted,
E-Learning Hub Ug,Consultancy,+256752145994,https://wa.me/256752145994,Educational consultant,Jinja,Jinja,1,Low,no,Not contacted,
Hawk FX,Consultancy,+256752299725,https://wa.me/256752299725,Financial consultant,Mukono,,1,Low,no,Not contacted,
Maritra,Consultancy,+256783669846,https://wa.me/256783669846,Engineering consultant,Mbarara,"Kyosiga house, Makhansingh street",1,Low,no,Not contacted,
Proland Consulting Surveyors,Consultancy,+256774539223,https://wa.me/256774539223,Real estate consultant,Mbarara,"BAM Complex, Plot 7/9, 14B High Street",1,Low,no,Not contacted,
CA Consultants,Consultancy,+256701475205,https://wa.me/256701475205,Consultant,Fort Portal,"M7FQ+HC9, Mukasenyi",1,Low,no,Not contacted,
Katembeko & Co. Advocates,Consultancy,+256782009502,https://wa.me/256782009502,Legal services,Fort Portal,"Magric Building, Plot 25 Bwamba Rd",1,Low,no,Not contacted,
YunHill Associates Audit Firm,Consultancy,+256752047914,https://wa.me/256752047914,Auditor,Fort Portal,M75G+76X,1,Low,no,Not contacted,
WESTNILE Arua-city Events and business consultants,Consultancy,+256775090745,https://wa.me/256775090745,Consultant,Arua,"Cafeteria building, Hospital Rd",1,Low,no,Not contacted,
SKY TRANS AGENCIES LTD,Consultancy,+256777444452,https://wa.me/256777444452,Engineering consultant,Arua,"2WG8+3F6, Rhino Camp Road",1,Low,no,Not contacted,
Ross And Company Consultants Auditors And Accountants,Consultancy,+256772608003,https://wa.me/256772608003,Financial consultant,Lira,"6VRV+88J, Maruzi Rd",1,Low,no,Not contacted,
Wathom Consults,Consultancy,+256779510783,https://wa.me/256779510783,Tax consultant,Lira,Rwot Aler Road,1,Low,no,Not contacted,
Nitus solutions Limited,Consultancy,+256704688401,https://wa.me/256704688401,Consultant,Iganga,"Room 2 Nyende building, Iganga Highway",1,Low,no,Not contacted,
KHM INTERNATIONAL CONSULTANTS LIMITED IGANGA,Consultancy,+256759892919,https://wa.me/256759892919,Recruiter,Iganga,Plot 12 School Lane,1,Low,no,Not contacted,
Ives Advocates,Consultancy,+256702613841,https://wa.me/256702613841,Legal services,Tororo,Plot 39 Upper Bazaar St,1,Low,no,Not contacted,
SKYRICH M.R ASSOCIATES,Consultancy,+256781384002,https://wa.me/256781384002,Tax consultant,Kampala,"Kireka trading center, Mamerito building",0,Low,no,Not contacted,
Stavat Engineering consults (SEC),Consultancy,+256788125038,https://wa.me/256788125038,Engineering consultant,Kampala,Kabaka Rd,0,Low,no,Not contacted,
CHARIS EDUCATIONAL SERVICES KAMPALA,Consultancy,+256789641327,https://wa.me/256789641327,Educational consultant,Kampala,Opposite Shell Petrol Station,0,Low,no,Not contacted,
exodus education services,Consultancy,+256776957503,https://wa.me/256776957503,Educational consultant,Kampala,"Adam street, Kamuli Rd",0,Low,no,Not contacted,
M-tech Consults,Consultancy,+256772605057,https://wa.me/256772605057,Consultant,Entebbe,,0,Low,no,Not contacted,
Flawless Consultants Limited,Consultancy,+256753221177,https://wa.me/256753221177,Consultant,Entebbe,3F27+FFG Joritah gardens,0,Low,no,Not contacted,
VERITAS PUBLIC ADVISORY,Consultancy,+256782806242,https://wa.me/256782806242,Business management consultant,Entebbe,"Katabi Town Council, Kitala",0,Low,no,Not contacted,
Star Consultants Limited,Consultancy,+256785452307,https://wa.me/256785452307,Consultant,Jinja,Nile Ave,0,Low,no,Not contacted,
Shon engineering consultant and contractors limited,Consultancy,+256767373243,https://wa.me/256767373243,Engineering consultant,Jinja,,0,Low,no,Not contacted,
Mutual Engineering and Logistics,Consultancy,+256777065343,https://wa.me/256777065343,Engineering consultant,Mukono,Muyiga St,0,Low,no,Not contacted,
White Horn Consults,Consultancy,+256701354461,https://wa.me/256701354461,Consultant,Gulu,Gulu - Patiko Rd,0,Low,no,Not contacted,
Hygenix enterprise,Consultancy,+256791122002,https://wa.me/256791122002,Educational consultant,Gulu,Goans quarter,0,Low,no,Not contacted,
Kastomking Consultancy (U) Ltd,Consultancy,+256772588207,https://wa.me/256772588207,Business management consultant,Gulu,"Q7CQ+X68, Juba Road",0,Low,no,Not contacted,
DEROWAH Research and Consultancy Services,Consultancy,+256776125465,https://wa.me/256776125465,Consultant,Gulu,Queens,0,Low,no,Not contacted,
AMOR CONNECT CONSULT,Consultancy,+256777485195,https://wa.me/256777485195,Business management consultant,Gulu,"Q7FX+5QC, Aliker",0,Low,no,Not contacted,
David 7 Clinic Mbarara Branch,Consultancy,+256787325894,https://wa.me/256787325894,Health consultant,Mbarara,Mbarara Mahembe Gente,0,Low,no,Not contacted,
Economic tutorials,Consultancy,+256762606116,https://wa.me/256762606116,Educational consultant,Mbarara,Kakoba Kasingyengye line 1,0,Low,no,Not contacted,
Sua Consults,Consultancy,+256772577018,https://wa.me/256772577018,Consultant,Mbarara,,0,Low,no,Not contacted,
Amocat Engineering Solution,Consultancy,+256701355809,https://wa.me/256701355809,Engineering consultant,Mbarara,Nyamitanga Division,0,Low,no,Not contacted,
RichConsult.com,Consultancy,+256782591869,https://wa.me/256782591869,Consultant,Fort Portal,,0,Low,no,Not contacted,
SARLAN EDUCATION AND RESEARCH SERVICES CO LTD,Consultancy,+256776428589,https://wa.me/256776428589,Educational consultant,Fort Portal,Plot 10 Buga Road,0,Low,no,Not contacted,
I'm Bright brain,Consultancy,+256751993149,https://wa.me/256751993149,Educational consultant,Fort Portal,"M74J+FFF, Mugurusi Rd",0,Low,no,Not contacted,
Etovos Consults Limited,Consultancy,+256773906553,https://wa.me/256773906553,Engineering consultant,Arua,Pakwach Road,0,Low,no,Not contacted,
Ariiwa Consults and Company Ltd,Consultancy,+256788739918,https://wa.me/256788739918,Consultant,Arua,"2WC6+RHF, Transport Rd",0,Low,no,Not contacted,
RELATIVITY CONSULTANCY,Consultancy,+256779654654,https://wa.me/256779654654,Economic consultant,Arua,Ediofe Rd,0,Low,no,Not contacted,
Vartex technical services (u) Ltd,Consultancy,+256777622201,https://wa.me/256777622201,Engineering consultant,Arua,Omgbokolo park,0,Low,no,Not contacted,
LO Consultancy,Consultancy,+256770567291,https://wa.me/256770567291,Educational consultant,Lira,Obote Avenue,0,Low,no,Not contacted,
BIJ CONSULTS,Consultancy,+256775157744,https://wa.me/256775157744,Consultant,Lira,Obote Ave,0,Low,no,Not contacted,
DAMERO CONSULTANCY LTD,Consultancy,+256773666449,https://wa.me/256773666449,Tax consultant,Lira,Oyite Ojok Lane,0,Low,no,Not contacted,
Jacob,Consultancy,+256769036725,https://wa.me/256769036725,Engineering consultant,Lira,Lira - Soroti Rd,0,Low,no,Not contacted,
Ocaya alex Business consultant,Consultancy,+256701043966,https://wa.me/256701043966,Business management consultant,Lira,Boroboro,0,Low,no,Not contacted,
Driptech Ltd Lira Branch,Consultancy,+256786479400,https://wa.me/256786479400,Engineering consultant,Lira,Obote Ave,0,Low,no,Not contacted,
FRINN CONSULTS (U) LTD,Consultancy,+256777608240,https://wa.me/256777608240,Financial audit,Lira,6 Lira - Gulu Rd,0,Low,no,Not contacted,
Northern Uganda Statistical Consultants Nu-Stac,Consultancy,+256704349005,https://wa.me/256704349005,Consultant,Lira,Lira District Chambers,0,Low,no,Not contacted,
AL-FATUH CONSULTANTS LIMITED,Consultancy,+256782870902,https://wa.me/256782870902,Human resource consulting,Iganga,53 Main St,0,Low,no,Not contacted,
Quest consultants international Ltd,Consultancy,+256772258654,https://wa.me/256772258654,Consultant,Iganga,,0,Low,no,Not contacted,
Gibson Environmental Solution,Consultancy,+256701330020,https://wa.me/256701330020,Environmental consultant,Iganga,Nakigo Rd,0,Low,no,Not contacted,
Phenma Ventures Company Limited,Consultancy,+256754227534,https://wa.me/256754227534,Consultant,Iganga,Opp Iganga Municipal Council,0,Low,no,Not contacted,
Mukose eric,Consultancy,+256754078898,https://wa.me/256754078898,Engineering consultant,Iganga,"JF8H+62W, Old Market St",0,Low,no,Not contacted,
AJR Metadata Consultants,Consultancy,+256785320709,https://wa.me/256785320709,Consultant,Tororo,,0,Low,no,Not contacted,
Emma pilado,Consultancy,+256730555960,https://wa.me/256730555960,Consultant,Tororo,,0,Low,no,Not contacted,
KAIKEDE ASSOCIATES,Consultancy,+256778875248,https://wa.me/256778875248,Legal services,Tororo,"1st Floor Shopping Mall, G3 Market Street",0,Low,no,Not contacted,
OgwAshi Uganda Limited,Consultancy,+256777855811,https://wa.me/256777855811,Tax consultant,Tororo,Hillary Rd,0,Low,no,Not contacted,
Kireka charity foundation,Consultancy,+256782292389,https://wa.me/256782292389,Business management consultant,Tororo,Tororo district,0,Low,no,Not contacted,
kotvin technologies ltd,Consultancy,+256704881333,https://wa.me/256704881333,Liquidator,Tororo,M5HP+7JW,0,Low,no,Not contacted,
Elevation Consults ltd,Consultancy,+256787578570,https://wa.me/256787578570,Consultant,Soroti,"Plot 9, 12 Kennedy Square",0,Low,no,Not contacted,
Onyal Consults ltd,Consultancy,+256752509844,https://wa.me/256752509844,Consultant,Soroti,"PJ62+HP8, Ajena Rd",0,Low,no,Not contacted,
Benjamin Business Consultancy,Consultancy,+256784997312,https://wa.me/256784997312,Tax consultant,Soroti,Plot 22 Oumo Road,0,Low,no,Not contacted,
Qecl,Consultancy,+256772999346,https://wa.me/256772999346,Consultant,Soroti,Plot 9 Old Mbale Rd,0,Low,no,Not contacted,
Houston Executive Consulting,Consultancy,+256700801771,https://wa.me/256700801771,Business management consultant,Kampala,"Plot 4254 Magambo Road, Mulangira Close",360,High,yes,Not contacted,
Smarklinks Education Consultants,Consultancy,+256701502297,https://wa.me/256701502297,Educational consultant,Kampala,"6th Floor, BMK House",99,High,yes,Not contacted,
Innovation Consortium,Consultancy,+256702869489,https://wa.me/256702869489,Engineering consultant,Mukono,"Plot 723 Nvule lane, Kiira town council",68,High,yes,Not contacted,
ENACTIVE STUDY LINK,Consultancy,+256786395503,https://wa.me/256786395503,Educational consultant,Kampala,"Church Street Mall, Bukoto",67,High,yes,Not contacted,
WR Education Placement Consultant,Consultancy,+256702628446,https://wa.me/256702628446,Consultant,Kampala,Ssenyondo Cl,58,High,yes,Not contacted,
WUNNA EDUCATIONAL SERVICES,Consultancy,+256788463703,https://wa.me/256788463703,Educational consultant,Kampala,,31,High,yes,Not contacted,
Planet Education Consultants,Consultancy,+256783440953,https://wa.me/256783440953,Educational consultant,Kampala,"Susie House, Plot 1001 Ggaba Road",27,High,yes,Not contacted,
JABULANI ENGINEERING LTD,Consultancy,+256754011000,https://wa.me/256754011000,Engineering consultant,Mukono,"Jabulani House, Plot 1904 Bajjo Rd",26,High,yes,Not contacted,
IMK Engineering Company Ltd,Consultancy,+256759821852,https://wa.me/256759821852,Engineering consultant,Kampala,8JXC+JPH,24,High,yes,Not contacted,
Doctar Freddie,Consultancy,+256751335052,https://wa.me/256751335052,Marketing consultant,Gulu,3 Princess Rd,24,High,yes,Not contacted,
KODI Associates,Consultancy,+256759752151,https://wa.me/256759752151,Accounting firm,Kampala,Impala House,23,High,yes,Not contacted,
Gridway Engineering Services LTD,Consultancy,+256702872330,https://wa.me/256702872330,Engineering consultant,Kampala,"9J5M+MRG, Upper Estate",23,High,yes,Not contacted,
Uganda Association of Consulting Engineers,Consultancy,+256787274424,https://wa.me/256787274424,Engineering consultant,Kampala,Plot 17 Martyrs' Way,22,High,yes,Not contacted,
DigBit Technologies,Consultancy,+256705925229,https://wa.me/256705925229,Computer consultant,Mbarara,,21,High,yes,Not contacted,
256 Tax Consultants,Consultancy,+256773987457,https://wa.me/256773987457,Tax preparation service,Kampala,Cham Towers,20,High,yes,Not contacted,
SANKOFA CONSULTING ENGINEERS,Consultancy,+256766055271,https://wa.me/256766055271,Engineering consultant,Kampala,,17,Medium,yes,Not contacted,
Mark Engineering Associates Ltd,Consultancy,+256759403076,https://wa.me/256759403076,Engineering consultant,Kampala,,17,Medium,yes,Not contacted,
Smart Insights Limited,Consultancy,+256756266266,https://wa.me/256756266266,Educational consultant,Kampala,"Spear House, Plot 22 Jinja Road",16,Medium,yes,Not contacted,
NBK-Premier Solutions Investment/Business Consultancy,Consultancy,+256704597816,https://wa.me/256704597816,Business management consultant,Kampala,"Plot 628, Ssentongo Close, Ring road",14,Medium,yes,Not contacted,
MUKAGO GET-UP-AND GO LTD,Consultancy,+256750794937,https://wa.me/256750794937,Consultant,Fort Portal,,12,Medium,yes,Not contacted,
EBC,Consultancy,+256780684716,https://wa.me/256780684716,Business management consultant,Kampala,"4th Floor, The Acacia Mall, Cooper Road",10,Medium,yes,Not contacted,
LITARM CONSULTS,Consultancy,+256793187753,https://wa.me/256793187753,Business management consultant,Kampala,"Mirage Complex, Plot 756 Port Bell Rd",6,Medium,yes,Not contacted,
AM WEST ENGINEERING CONSULT LTD,Consultancy,+256774372919,https://wa.me/256774372919,Engineering consultant,Kampala,"Kalanzi Complex, Kireka Road",6,Medium,yes,Not contacted,
Indo Afric HR,Consultancy,+256772740408,https://wa.me/256772740408,Human resource consulting,Kampala,"13th Floor, DTB Centre, Kampala Road",6,Medium,yes,Not contacted,
Summit Consulting Ltd,Consultancy,+256782610333,https://wa.me/256782610333,Business management consultant,Kampala,Kayondo Rd,5,Medium,yes,Not contacted,
Alison Consults Ltd,Consultancy,+256761769290,https://wa.me/256761769290,Engineering consultant,Kampala,"9J8W+25Q, Northern Bypass Hwy",5,Medium,yes,Not contacted,
Global Amet Allies (GAA) Ltd,Consultancy,+256778144153,https://wa.me/256778144153,Environmental consultant,Mukono,Plot 504 Dino Rd,5,Medium,yes,Not contacted,
Maarifasasa Limited,Consultancy,+256770729228,https://wa.me/256770729228,Educational consultant,Lira,Plot 26 Boundary Road,5,Medium,yes,Not contacted,
Harvest Point Agri Consultants Uganda,Consultancy,+256779793214,https://wa.me/256779793214,Agricultural service,Entebbe,Lyamutundwe,4,Low,yes,Not contacted,
Beleon Consultants,Consultancy,+256759488894,https://wa.me/256759488894,Consultant,Jinja,"C6M6+7QR, Main St",4,Low,yes,Not contacted,
GPS (Geometric Point Solutions),Consultancy,+256773293432,https://wa.me/256773293432,Consultant,Lira,"Suite F12, Plot 1 Lira - Soroti Rd",4,Low,yes,Not contacted,
E.Angura & Co. Advocates,Consultancy,+256772172719,https://wa.me/256772172719,Legal services,Kampala,,3,Low,yes,Not contacted,
SAVIA JOB CONSULTANTS,Consultancy,+256745309353,https://wa.me/256745309353,Human resource consulting,Kampala,"Fidenza Mall, Bukoto",3,Low,yes,Not contacted,
Seam Outsourcing Ltd,Consultancy,+256777777748,https://wa.me/256777777748,Human resource consulting,Kampala,"8JC3+G9F, Second St",3,Low,yes,Not contacted,
SHANTIE TECHNICAL ENGINEERING SERVICES,Consultancy,+256701487119,https://wa.me/256701487119,Engineering consultant,Jinja,Mbiiko kasanjja zone,3,Low,yes,Not contacted,
KANE BUSINESS CONSULTANTS LTD,Consultancy,+256787878661,https://wa.me/256787878661,Business management consultant,Kampala,Mukulu Curve,2,Low,yes,Not contacted,
The TAX AGENT,Consultancy,+256751474334,https://wa.me/256751474334,Tax consultant,Kampala,,2,Low,yes,Not contacted,
BAATA Engineering Company Limited,Consultancy,+256772472525,https://wa.me/256772472525,Engineering consultant,Kampala,"Plot 1921, Kamuli Road, Kireka",2,Low,yes,Not contacted,
MUGUME RICHARD,Consultancy,+256709000894,https://wa.me/256709000894,Consultant,Mbarara,,2,Low,yes,Not contacted,
WEE Consortium Africa,Consultancy,+256758727865,https://wa.me/256758727865,Legal services,Iganga,Nampilika Kikongola,2,Low,yes,Not contacted,
IMK Business Consultants,Consultancy,+256706062417,https://wa.me/256706062417,Business management consultant,Kampala,"Tirupati Building 3rd Floor, Ntinda",1,Low,yes,Not contacted,
Afayo Tax Consult Ltd,Consultancy,+256781127217,https://wa.me/256781127217,Tax consultant,Kampala,Nakawa - Jinja Rd,1,Low,yes,Not contacted,
POWER GURU ENGINEERING SERVICES LTD,Consultancy,+256764641264,https://wa.me/256764641264,Engineering consultant,Kampala,Kinawataka Road,1,Low,yes,Not contacted,
SoliMat Engineering Company Ltd,Consultancy,+256748019314,https://wa.me/256748019314,Engineering consultant,Kampala,8JQV+HMV,1,Low,yes,Not contacted,
PAM PARTNERS LIMITED,Consultancy,+256754717460,https://wa.me/256754717460,Human resource consulting,Kampala,"Mirembe Plaza, Kampala - Jinja Hwy",1,Low,yes,Not contacted,
INBRIX CONSULTANTS,Consultancy,+256795925252,https://wa.me/256795925252,Educational consultant,Kampala,"National ICT Innovation Hub, Port Bell Rd",1,Low,yes,Not contacted,
Datasoft Consultancy Office,Consultancy,+256775006144,https://wa.me/256775006144,Educational consultant,Entebbe,"Nkumba University Law Gate, Business Road",1,Low,yes,Not contacted,
GENERATION NEXT UGANDA,Consultancy,+256701778686,https://wa.me/256701778686,Consultant,Jinja,"Plot 5 Main Street, The Innovation Village",1,Low,yes,Not contacted,
GeoTech Solutions,Consultancy,+256786030538,https://wa.me/256786030538,Engineering consultant,Jinja,"Plot 531 Block 295, Njeru Municipal Council",1,Low,yes,Not contacted,
Impact Options,Consultancy,+256787373535,https://wa.me/256787373535,Consultant,Gulu,"Plot 4, Paul Odong Road, Gulu City",1,Low,yes,Not contacted,
Royal Reach Investments Ltd,Consultancy,+256784763741,https://wa.me/256784763741,Business management consultant,Mbarara,Akiki Nyabongo Road,1,Low,yes,Not contacted,
PKIT Consultants Ltd,Consultancy,+256782733357,https://wa.me/256782733357,Computer consultant,Arua,Ediofe Rd,1,Low,yes,Not contacted,
Arua Innovation Clusters,Consultancy,+256700730859,https://wa.me/256700730859,Business management consultant,Arua,Muni Hill,1,Low,yes,Not contacted,
YUKON Contractors & Consultants LTD,Consultancy,+256775568022,https://wa.me/256775568022,Industrial real estate agency,Entebbe,Kampala - Entebbe Rd,0,Low,yes,Not contacted,
All in one set,Consultancy,+256793109379,https://wa.me/256793109379,Educational consultant,Jinja,35,0,Low,yes,Not contacted,
Immaculate Consultancy Services,Consultancy,+256703189724,https://wa.me/256703189724,Financial consultant,Mukono,9PF7+572,0,Low,yes,Not contacted,
Exactform engineering center,Consultancy,+256757064543,https://wa.me/256757064543,Engineering consultant,Gulu,Gulu - Kitgum Rd,0,Low,yes,Not contacted,
HBK Global EduHealth Ltd,Consultancy,+256787704399,https://wa.me/256787704399,Educational consultant,Mbarara,"Iqra Building, Victor Bwana Street, Ntare Road",0,Low,yes,Not contacted,
Tariq Consult ltd,Consultancy,+256789935207,https://wa.me/256789935207,Business management consultant,Arua,"Block B Room 101, KKT Plaza",0,Low,yes,Not contacted,
E-NET CONSULTANTS,Consultancy,+256770916660,https://wa.me/256770916660,Consultant,Arua,,0,Low,yes,Not contacted,
Kawil Business Development Solutions,Consultancy,+256788556650,https://wa.me/256788556650,Consultant,Lira,"Plot 1 Job Centre, Ireda Housing Estate",0,Low,yes,Not contacted,
GOSAN BUSINESS SOLUTION LIMITED,Consultancy,+256780150290,https://wa.me/256780150290,Engineering consultant,Lira,Plot 18A Ojwina Road,0,Low,yes,Not contacted,
Scelus Innovations,Consultancy,+256743347741,https://wa.me/256743347741,Business management consultant,Lira,"Bygon Foundation building, Maruzi road",0,Low,yes,Not contacted,
nanzige consultant,Consultancy,+256752480141,https://wa.me/256752480141,Computer service,Iganga,Iganga district plot 56,0,Low,yes,Not contacted,
GEMTECH Research and Data Analysis Co Ltd,Consultancy,+256786382298,https://wa.me/256786382298,Consultant,Soroti,"902124, Amen A",0,Low,yes,Not contacted,
Emuria Technologies,Consultancy,+256777174786,https://wa.me/256777174786,Consultant,Soroti,"Soroti, Lira-road Nakatunya",0,Low,yes,Not contacted,
AARONS ELECTRICAL SERVICES UG,Electrical,+256708643109,https://wa.me/256708643109,Electrical installation service,Kampala,William St,201,High,no,Not contacted,
ANDE_TECH POWER HUB,Electrical,+256753131509,https://wa.me/256753131509,Electrician,Kampala,,66,High,no,Not contacted,
Icone Electrical,Electrical,+256769463840,https://wa.me/256769463840,Electrician,Kampala,,43,High,no,Not contacted,
volt Electricians,Electrical,+256701854197,https://wa.me/256701854197,Electrical installation service,Kampala,64 Semawata Rd,18,Medium,no,Not contacted,
Jaso Electric Mart,Electrical,+256784838330,https://wa.me/256784838330,Electronics store,Lira,Plot 2B Maruzi Road,13,Medium,no,Not contacted,
SWALLEH ELECTRICAL SERVICES,Electrical,+256782156590,https://wa.me/256782156590,Electrical engineer,Arua,Nyamunuka Town Council High street,7,Medium,no,Not contacted,
SKYPA BUSINESS SOLUTION BUKAYE,Electrical,+256745884779,https://wa.me/256745884779,Electrician,Iganga,Bukaye Kaliro road,7,Medium,no,Not contacted,
KD Technical enterprises ltd,Electrical,+256706504224,https://wa.me/256706504224,Electrician,Mukono,,5,Medium,no,Not contacted,
K-JEREMYX ELECTRICALS,Electrical,+256771092144,https://wa.me/256771092144,Electrician,Tororo,Naguru Dr,5,Medium,no,Not contacted,
Apro-Ben Electrical centre,Electrical,+256772381354,https://wa.me/256772381354,Electronics store,Soroti,"PJ79+WJJ, Soroti-Lira Rd",5,Medium,no,Not contacted,
Powermax electric point,Electrical,+256701698784,https://wa.me/256701698784,Electrical installation service,Kampala,Old Butabika Rd,4,Low,no,Not contacted,
BK ELECTRICAL SERVICES LTD,Electrical,+256706076413,https://wa.me/256706076413,Electrical installation service,Entebbe,Kawafu Road,4,Low,no,Not contacted,
GEAR ELECTRICAL CONTRACTORS LTD,Electrical,+256792355472,https://wa.me/256792355472,Electrical engineer,Kampala,9J28+68R,3,Low,no,Not contacted,
Rwensha Electricals and solar systems,Electrical,+256701394678,https://wa.me/256701394678,Electrical installation service,Mbarara,Mbarara - Masaka Rd,3,Low,no,Not contacted,
Emmanuel Electrical and Solar Power,Electrical,+256783239737,https://wa.me/256783239737,Electrician,Fort Portal,Rukidi III St,3,Low,no,Not contacted,
JC Electrical & Graphic Solutions Lira City,Electrical,+256774979282,https://wa.me/256774979282,Electrical supply store,Lira,Kwania Rd,3,Low,no,Not contacted,
Electrical Engineering,Electrical,+256781512427,https://wa.me/256781512427,Electrician,Kampala,"8MW6+VPJ, Joke's hotel",2,Low,no,Not contacted,
Leqtrix electrical engineering,Electrical,+256789170541,https://wa.me/256789170541,Electrical installation service,Kampala,Plot 35 Robert Mugabe Rd,2,Low,no,Not contacted,
Sparky broz electricals Uganda,Electrical,+256761773289,https://wa.me/256761773289,Electrician,Entebbe,Nanziri close,2,Low,no,Not contacted,
KOMS ELECTRICAL COMPANY,Electrical,+256704165227,https://wa.me/256704165227,Electrical engineer,Entebbe,"3F6C+5MM, Main Street",2,Low,no,Not contacted,
Megawatts Electrical Solutions,Electrical,+256700234222,https://wa.me/256700234222,Electrical installation service,Entebbe,"3G96+VG5, Nkumba",2,Low,no,Not contacted,
Vinix Tech electrical,Electrical,+256741098921,https://wa.me/256741098921,Electrician,Jinja,,2,Low,no,Not contacted,
