Name,Phone,SecondPhone,Email,Line,Segment,Category,Area,Address,Reviews,Priority,Note,Status,Notes
Unison Associates Limited,+256700723379,,,mobile,Consultancy / Professional services,Bookkeeping service,Kampala,"Mabirizi City Plaza, Ben Kiwanuka Rd",1,Low,,Not called,
MTC Associates Ltd.,+256312261462,,,landline,Consultancy / Professional services,Accounting,Kampala,"27962, Kampala Plot Clement Hill Rd",1,Low,,Not called,
Jasper - Semu & Associates,+256414231577,,,landline,Consultancy / Professional services,Accountant,Kampala,P.O.Box 8294 Nasser Rd,1,Low,,Not called,
Netsoft CONSULTING services PVT Ltd,+256754425491,,,mobile,Consultancy / Professional services,Corporate office,Ntinda / Nakawa,17 Martyrs' Way,1,Low,,Not called,
Connect Pro Uganda (Blue Elephant Services),+256756413758,,,mobile,Consultancy / Professional services,Consultant,Ntinda / Nakawa,,1,Low,,Not called,
Exodus Kampala CPA,+256752645284,,,mobile,Consultancy / Professional services,Financial audit,Kampala,8HW9+56X,0,Low,,Not called,
"Acco. Accountants, Auditors & Tax Consultants",+256312272645,,,landline,Consultancy / Professional services,Auditor,Kampala,Plot12 William St,0,Low,,Not called,
Kampala Expats Immigration Guide,+256792232942,,,mobile,Consultancy / Professional services,Consultant,Kampala,Plot 46,0,Low,,Not called,
Visa immigration advocacy agents,+256785305105,,,mobile,Consultancy / Professional services,Tour agency,Kampala,,0,Low,,Not called,
St. Joseph Catholic Church.,+256752640721,,,mobile,Church / Place of worship,Catholic church,Nansana,9G8H+29Q,198,High,,Not called,
Life Victory Church - Nansana,+256701638789,,,mobile,Church / Place of worship,Religious organization,Nansana,"Off Nansana Police Station, Kampala - Hoima Rd",40,High,,Not called,
Christ the King Pentecostal Church Nansana,+256772594230,,,mobile,Church / Place of worship,Pentecostal church,Nansana,"9G7C+X8Q, Kampala-Hoima",11,Medium,,Not called,
Nansana Church of Uganda,+256775764513,,,mobile,Church / Place of worship,Educational institution,Nansana,,8,Medium,,Not called,
School Of Management And Entrepreneurship (Some),+256414285659,,,landline,School / Education,Management school,Kawempe,,8,Medium,,Not called,
Victory Primary School,+256770761253,,,mobile,School / Education,Education center,Kawempe,,5,Medium,,Not called,
Taibah High School,+256755200028,,,mobile,School / Education,High school,Kawempe,Ttula Rd,0,Low,,Not called,
