Name,Phone,Email,Company,LineType,CanWhatsApp,Segment,Category,Area,Address,Reviews,Priority,WebCheck,PhoneLocal,MapsUrl,Status,Notes
Kawempe Royal College School,+256772401668,,Educational institution · Kawempe,mobile,yes,School / Education,Educational institution,Kawempe,Kawempe Royal College School,8,Medium,Confirmed,0772 401668,https://www.google.com/maps/search/Kawempe+Royal+College+School+Kawempe+Royal+College+School+Kampala+Uganda,Not called,
Daffodils Kindergarten,+256717251864,,Kindergarten · Kampala,mobile,yes,School / Education,Kindergarten,Kampala,22 Prince Charles Dr,7,Medium,Confirmed,0717 251864,https://www.google.com/maps/search/Daffodils+Kindergarten+22+Prince+Charles+Dr+Kampala+Uganda,Not called,
Kampala Smart School,+256776182222,,Education center · Nakawa,mobile,yes,School / Education,Education center,Nakawa,Plot 1 Vubyabirenge Cl,7,Medium,Confirmed,0776 182222,https://www.google.com/maps/search/Kampala+Smart+School+Plot+1+Vubyabirenge+Cl+Kampala+Uganda,Not called,
CROWN JUNIOR SCHOOL NSAMBYA,+256703151714,,Educational institution · Makindye,mobile,yes,School / Education,Educational institution,Makindye,Nsambya Kevina,6,Medium,Confirmed,0703 151714,https://www.google.com/maps/search/CROWN+JUNIOR+SCHOOL+NSAMBYA+Nsambya+Kevina+Kampala+Uganda,Not called,
Springdales EARLY CHILDHOOD School,+256393264018,,Preschool · Kampala,landline,no,School / Education,Preschool,Kampala,"Springdales, Plot 1 Mabua Rd",4,Low,Confirmed,039 3264018,https://www.google.com/maps/search/Springdales+EARLY+CHILDHOOD+School+Springdales%2C+Plot+1+Mabua+Rd+Kampala+Uganda,Not called,
Apple Kids Nursery & Daycare Centre,+256773842222,,Nursery school · Kampala,mobile,yes,School / Education,Nursery school,Kampala,9H3V+4RH,4,Low,Confirmed,0773 842222,https://www.google.com/maps/search/Apple+Kids+Nursery+%26+Daycare+Centre+9H3V%2B4RH+Kampala+Uganda,Not called,
"SPRINGS EDUCATION SERVICES, Ntinda",+256702834748,,Educational institution · Ntinda / Kisaasi,mobile,yes,School / Education,Educational institution,Ntinda / Kisaasi,"Near Harus driving school head office, Mumbejja close, Ntinda - Kisaasi Rd",4,Low,Confirmed,0702 834748,https://www.google.com/maps/search/SPRINGS+EDUCATION+SERVICES%2C+Ntinda+Near+Harus+driving+school+head+office%2C+Mumbejja+close%2C+Ntinda+-+Kisaasi+Rd+Kampala+Uganda,Not called,
Marigold Early Learning Center,+256772631659,,Preschool · Ntinda / Kisaasi,mobile,yes,School / Education,Preschool,Ntinda / Kisaasi,Ntinda - Kisaasi Rd,4,Low,Confirmed,0772 631659,https://www.google.com/maps/search/Marigold+Early+Learning+Center+Ntinda+-+Kisaasi+Rd+Kampala+Uganda,Not called,
Music Academy Ntinda,+256759433774,,Music college · Ntinda / Kisaasi,mobile,yes,School / Education,Music college,Ntinda / Kisaasi,"9J28+86X, Ntinda - Kisaasi Rd",4,Low,Confirmed,0759 433774,https://www.google.com/maps/search/Music+Academy+Ntinda+9J28%2B86X%2C+Ntinda+-+Kisaasi+Rd+Kampala+Uganda,Not called,
Safari Kindergarten,+256783332332,,Kindergarten · Kampala,mobile,yes,School / Education,Kindergarten,Kampala,Bukoto St,3,Low,Confirmed,0783 332332,https://www.google.com/maps/search/Safari+Kindergarten+Bukoto+St+Kampala+Uganda,Not called,
Wintercoals International School,+256393248061,,Kindergarten · Ntinda / Kisaasi,landline,no,School / Education,Kindergarten,Ntinda / Kisaasi,5b Komamboga 2330,3,Low,Confirmed,039 3248061,https://www.google.com/maps/search/Wintercoals+International+School+5b+Komamboga+2330+Kampala+Uganda,Not called,
Ladybird International PreSchool,+256200923818,,Preschool · Ntinda / Kisaasi,landline,no,School / Education,Preschool,Ntinda / Kisaasi,Mawanda Rd,3,Low,Confirmed,0200 923818,https://www.google.com/maps/search/Ladybird+International+PreSchool+Mawanda+Rd+Kampala+Uganda,Not called,
Handy-Women Skills School Centre,+256776997766,,Training center · Ntinda / Kisaasi,mobile,yes,School / Education,Training center,Ntinda / Kisaasi,"Ntinda Complex Innovation Village, Ntinda - Kisaasi Rd",3,Low,Confirmed,0776 997766,https://www.google.com/maps/search/Handy-Women+Skills+School+Centre+Ntinda+Complex+Innovation+Village%2C+Ntinda+-+Kisaasi+Rd+Kampala+Uganda,Not called,
Carmel International School,+256772571778,,Kindergarten · Kampala,mobile,yes,School / Education,Kindergarten,Kampala,Plot 32 Magulu Cl,2,Low,Confirmed,0772 571778,https://www.google.com/maps/search/Carmel+International+School+Plot+32+Magulu+Cl+Kampala+Uganda,Not called,
Daffodils Kindergarten And Daycare,+256414530154,,Children's party service · Kampala,landline,no,School / Education,Children's party service,Kampala,Plot4B -Dar Es Salaam,2,Low,Confirmed,041 4530154,https://www.google.com/maps/search/Daffodils+Kindergarten+And+Daycare+Plot4B+-Dar+Es+Salaam+Kampala+Uganda,Not called,
Valley View Kindergarten - Naalya,+256780686572,,Nursery school · Kampala,mobile,yes,School / Education,Nursery school,Kampala,Resident Drive,2,Low,Confirmed,0780 686572,https://www.google.com/maps/search/Valley+View+Kindergarten+-+Naalya+Resident+Drive+Kampala+Uganda,Not called,
Good Shepered Nursery And Primary Sch.,+256752617104,,Nursery/primary school · Rubaga,mobile,yes,School / Education,Nursery/primary school,Rubaga,,2,Low,Confirmed,0752 617104,https://www.google.com/maps/search/Good+Shepered+Nursery+And+Primary+Sch.++Kampala+Uganda,Not called,
Concerted College School-Ntinda,+256788910585,,College · Ntinda / Kisaasi,mobile,yes,School / Education,College,Ntinda / Kisaasi,"Concerted College Ntinda, 277 A.Kiwanuka Rd",2,Low,Confirmed,0788 910585,https://www.google.com/maps/search/Concerted+College+School-Ntinda+Concerted+College+Ntinda%2C+277+A.Kiwanuka+Rd+Kampala+Uganda,Not called,
"Lubaga Metropolitan Business, Technical & Vocational Institute",+256758502366,,Vocational school · Kampala,mobile,yes,School / Education,Vocational school,Kampala,Plot 3 Rubaga Rd,2,Low,Confirmed,0758 502366,https://www.google.com/maps/search/Lubaga+Metropolitan+Business%2C+Technical+%26+Vocational+Institute+Plot+3+Rubaga+Rd+Kampala+Uganda,Not called,
Sure Start Kindergarten & Pre School,+256414698577,,Preschool · Kampala,landline,no,School / Education,Preschool,Kampala,9H4W+H3R,1,Low,Confirmed,041 4698577,https://www.google.com/maps/search/Sure+Start+Kindergarten+%26+Pre+School+9H4W%2BH3R+Kampala+Uganda,Not called,
Daffy Ducks Nursery School,+256786743132,,Nursery school · Kampala,mobile,yes,School / Education,Nursery school,Kampala,"9H3R+H6C, Northern Bypass",1,Low,Confirmed,0786 743132,https://www.google.com/maps/search/Daffy+Ducks+Nursery+School+9H3R%2BH6C%2C+Northern+Bypass+Kampala+Uganda,Not called,
New Friendly Nursery School,+256752812676,,Plant nursery · Kampala,mobile,yes,School / Education,Plant nursery,Kampala,8HFC+67R,1,Low,Confirmed,0752 812676,https://www.google.com/maps/search/New+Friendly+Nursery+School+8HFC%2B67R+Kampala+Uganda,Not called,
Jamia Nursery School,+256780681420,,Education center · Rubaga,mobile,yes,School / Education,Education center,Rubaga,22 Rubaga Rd,1,Low,Confirmed,0780 681420,https://www.google.com/maps/search/Jamia+Nursery+School+22+Rubaga+Rd+Kampala+Uganda,Not called,
Glory vocational training center,+256755979290,,Vocational school · Kampala,mobile,yes,School / Education,Vocational school,Kampala,,1,Low,Confirmed,0755 979290,https://www.google.com/maps/search/Glory+vocational+training+center++Kampala+Uganda,Not called,
OKWANG TECHNICAL INSTITUE,+256393255330,,College · Kampala,landline,no,School / Education,College,Kampala,"8HHM+3QH, OKWANG SUB-COUNTY",1,Low,Confirmed,039 3255330,https://www.google.com/maps/search/OKWANG+TECHNICAL+INSTITUE+8HHM%2B3QH%2C+OKWANG+SUB-COUNTY+Kampala+Uganda,Not called,
SHINE Consult overseas education consultants,+256751663692,,Educational consultant · Kampala,mobile,yes,School / Education,Educational consultant,Kampala,"Equatoria Mall Suite 248, Bombo Rd",1,Low,Confirmed,0751 663692,https://www.google.com/maps/search/SHINE+Consult+overseas+education+consultants+Equatoria+Mall+Suite+248%2C+Bombo+Rd+Kampala+Uganda,Not called,
St. Peter's Secondary School - Nsambya,+256414267846,,High school · Kampala,landline,no,School / Education,High school,Kampala,Nsambya Estate Rd,0,Low,Confirmed,041 4267846,https://www.google.com/maps/search/St.+Peter%27s+Secondary+School+-+Nsambya+Nsambya+Estate+Rd+Kampala+Uganda,Not called,
Old Kampala S.S.S,+256414235010,,High school · Kampala,landline,no,School / Education,High school,Kampala,"8H88+8XP, Factory Rd",0,Low,Confirmed,041 4235010,https://www.google.com/maps/search/Old+Kampala+S.S.S+8H88%2B8XP%2C+Factory+Rd+Kampala+Uganda,Not called,
Kampala High School,+256708188219,,High school · Kampala,mobile,yes,School / Education,High school,Kampala,8HF8+HJ3,0,Low,Confirmed,0708 188219,https://www.google.com/maps/search/Kampala+High+School+8HF8%2BHJ3+Kampala+Uganda,Not called,
St Janan Luwum Secondary School,+256704912385,,High school · Kampala,mobile,yes,School / Education,High school,Kampala,"8H2X+M4W, Kikubamutwe Mbogo Rd",0,Low,Confirmed,0704 912385,https://www.google.com/maps/search/St+Janan+Luwum+Secondary+School+8H2X%2BM4W%2C+Kikubamutwe+Mbogo+Rd+Kampala+Uganda,Not called,
City High School,+256414341872,,High school · Kampala,landline,no,School / Education,High school,Kampala,P.O.Box 4405 Baskerville Ave,0,Low,Confirmed,041 4341872,https://www.google.com/maps/search/City+High+School+P.O.Box+4405+Baskerville+Ave+Kampala+Uganda,Not called,
Katwe Noor Secondary School,+256772591988,,Religious school · Kampala,mobile,yes,School / Education,Religious school,Kampala,,0,Low,Confirmed,0772 591988,https://www.google.com/maps/search/Katwe+Noor+Secondary+School++Kampala+Uganda,Not called,
Bukoto High School,+256774941781,,High school · Kampala,mobile,yes,School / Education,High school,Kampala,"Bukoto Market, 48a Bukoto Kisasi Rd",0,Low,Confirmed,0774 941781,https://www.google.com/maps/search/Bukoto+High+School+Bukoto+Market%2C+48a+Bukoto+Kisasi+Rd+Kampala+Uganda,Not called,
Muyenga High School,+256701860746,,High school · Kampala,mobile,yes,School / Education,High school,Kampala,8J36+J8J,0,Low,Confirmed,0701 860746,https://www.google.com/maps/search/Muyenga+High+School+8J36%2BJ8J+Kampala+Uganda,Not called,
Crane Hill Secondary School,+256776499382,,Secondary school · Kampala,mobile,yes,School / Education,Secondary school,Kampala,8HV3+8MQ,0,Low,Confirmed,0776 499382,https://www.google.com/maps/search/Crane+Hill+Secondary+School+8HV3%2B8MQ+Kampala+Uganda,Not called,
Universal High School - Kisaasi,+256772436454,,High school · Kampala,mobile,yes,School / Education,High school,Kampala,"2Km Off Bukoto Trading Centre, P O Box 23766 Kisaasi - Kyanja Rd",0,Low,Confirmed,0772 436454,https://www.google.com/maps/search/Universal+High+School+-+Kisaasi+2Km+Off+Bukoto+Trading+Centre%2C+P+O+Box+23766+Kisaasi+-+Kyanja+Rd+Kampala+Uganda,Not called,
Nsambya Secondary School,+256703606500,,Senior high school · Kampala,mobile,yes,School / Education,Senior high school,Kampala,"7HVR+5H8, Gogonya Rd",0,Low,Confirmed,0703 606500,https://www.google.com/maps/search/Nsambya+Secondary+School+7HVR%2B5H8%2C+Gogonya+Rd+Kampala+Uganda,Not called,
Mulago High School,+256702937662,,High school · Kampala,mobile,yes,School / Education,High school,Kampala,Apostle bunjo's offices,0,Low,Confirmed,0702 937662,https://www.google.com/maps/search/Mulago+High+School+Apostle+bunjo%27s+offices+Kampala+Uganda,Not called,
"Goshen High School, Uganda",+256756137137,,High school · Kampala,mobile,yes,School / Education,High school,Kampala,"Plot 1, Goshen Road",0,Low,Confirmed,0756 137137,https://www.google.com/maps/search/Goshen+High+School%2C+Uganda+Plot+1%2C+Goshen+Road+Kampala+Uganda,Not called,
Samson Memorial Secondary school,+256700679221,,High school · Kampala,mobile,yes,School / Education,High school,Kampala,9H4M+54W,0,Low,Confirmed,0700 679221,https://www.google.com/maps/search/Samson+Memorial+Secondary+school+9H4M%2B54W+Kampala+Uganda,Not called,
Devine High School,+256782817895,,High school · Kampala,mobile,yes,School / Education,High school,Kampala,ALONG MPEREWE KITEZI ROAD,0,Low,Confirmed,0782 817895,https://www.google.com/maps/search/Devine+High+School+ALONG+MPEREWE+KITEZI+ROAD+Kampala+Uganda,Not called,
Kansanga Secondary School,+256700438395,,High school · Kampala,mobile,yes,School / Education,High school,Kampala,"PO Box 336, Mitala Road",0,Low,Confirmed,0700 438395,https://www.google.com/maps/search/Kansanga+Secondary+School+PO+Box+336%2C+Mitala+Road+Kampala+Uganda,Not called,
Sekanyonyi Secondary School Mityana,+256777505133,,Secondary school · Kampala,mobile,yes,School / Education,Secondary school,Kampala,,0,Low,Confirmed,0777 505133,https://www.google.com/maps/search/Sekanyonyi+Secondary+School+Mityana++Kampala+Uganda,Not called,
Malcolm x senior secondary school.,+256705991752,,Higher secondary school · Kampala,mobile,yes,School / Education,Higher secondary school,Kampala,Malcolm x senior secondary school west kifamba zone,0,Low,Confirmed,0705 991752,https://www.google.com/maps/search/Malcolm+x+senior+secondary+school.+Malcolm+x+senior+secondary+school+west+kifamba+zone+Kampala+Uganda,Not called,
Ndeeba Secondary School,+256752635990,,Secondary school · Kampala,mobile,yes,School / Education,Secondary school,Kampala,,0,Low,Confirmed,0752 635990,https://www.google.com/maps/search/Ndeeba+Secondary+School++Kampala+Uganda,Not called,
"New Styles Secondary School, Kawaala",+256772500785,,High school · Kampala,mobile,yes,School / Education,High school,Kampala,,0,Low,Confirmed,0772 500785,https://www.google.com/maps/search/New+Styles+Secondary+School%2C+Kawaala++Kampala+Uganda,Not called,
St. Francis Senior Secondary School,+256772681402,,Senior high school · Kampala,mobile,yes,School / Education,Senior high school,Kampala,9HC5+57J,0,Low,Confirmed,0772 681402,https://www.google.com/maps/search/St.+Francis+Senior+Secondary+School+9HC5%2B57J+Kampala+Uganda,Not called,
Sudais Muslim Secondary School,+256702524750,,Religious school · Kampala,mobile,yes,School / Education,Religious school,Kampala,Bwera-Sesele,0,Low,Confirmed,0702 524750,https://www.google.com/maps/search/Sudais+Muslim+Secondary+School+Bwera-Sesele+Kampala+Uganda,Not called,
American International School Kampala,+256704309825,,International school · Kampala,mobile,yes,School / Education,International school,Kampala,Spraggon Cl,0,Low,Confirmed,0704 309825,https://www.google.com/maps/search/American+International+School+Kampala+Spraggon+Cl+Kampala+Uganda,Not called,
Khulafa Islamic Secondary School,+256702883108,,Religious school · Kampala,mobile,yes,School / Education,Religious school,Kampala,"8H5J+M2X, Entebbe Road",0,Low,Confirmed,0702 883108,https://www.google.com/maps/search/Khulafa+Islamic+Secondary+School+8H5J%2BM2X%2C+Entebbe+Road+Kampala+Uganda,Not called,
Makindye Parents Senior Secondary School,+256752615056,,High school · Kampala,mobile,yes,School / Education,High school,Kampala,7HQG+6V5,0,Low,Confirmed,0752 615056,https://www.google.com/maps/search/Makindye+Parents+Senior+Secondary+School+7HQG%2B6V5+Kampala+Uganda,Not called,
Gayaza Road Seondary School,+256312274118,,Secondary school · Kampala,landline,no,School / Education,Secondary school,Kampala,"9H7G+6H8, Gayaza -Kampala Rd",0,Low,Confirmed,031 2274118,https://www.google.com/maps/search/Gayaza+Road+Seondary+School+9H7G%2B6H8%2C+Gayaza+-Kampala+Rd+Kampala+Uganda,Not called,
Newcastle High School,+256414268425,,High school · Kampala,landline,no,School / Education,High school,Kampala,Plot 338 / P.O Box 3174,0,Low,Confirmed,041 4268425,https://www.google.com/maps/search/Newcastle+High+School+Plot+338+%2F+P.O+Box+3174+Kampala+Uganda,Not called,
Mityana Town School,+256705783544,,General education school · Kampala,mobile,yes,School / Education,General education school,Kampala,Katakara Rd,0,Low,Confirmed,0705 783544,https://www.google.com/maps/search/Mityana+Town+School+Katakara+Rd+Kampala+Uganda,Not called,
Sancta Maria Preparatory School,+256772898320,,Preparatory school · Nakawa,mobile,yes,School / Education,Preparatory school,Nakawa,,0,Low,Confirmed,0772 898320,https://www.google.com/maps/search/Sancta+Maria+Preparatory+School++Kampala+Uganda,Not called,
King Of Kings Junior School,+256772866801,,Primary school · Nakawa,mobile,yes,School / Education,Primary school,Nakawa,128 Old Kira Rd,0,Low,Confirmed,0772 866801,https://www.google.com/maps/search/King+Of+Kings+Junior+School+128+Old+Kira+Rd+Kampala+Uganda,Not called,
Stena Hill School,+256772410830,,High school · Makindye,mobile,yes,School / Education,High school,Makindye,,0,Low,Confirmed,0772 410830,https://www.google.com/maps/search/Stena+Hill+School++Kampala+Uganda,Not called,
Lungujja Progressive Primary School,+256772497535,,Primary school · Rubaga,mobile,yes,School / Education,Primary school,Rubaga,"8G5R+R5Q, lungujja kosovo",0,Low,Confirmed,0772 497535,https://www.google.com/maps/search/Lungujja+Progressive+Primary+School+8G5R%2BR5Q%2C+lungujja+kosovo+Kampala+Uganda,Not called,
Uganda Martyrs Primary School-Lubaga,+256772309404,,Primary school · Rubaga,mobile,yes,School / Education,Primary school,Rubaga,Uganda Matyrs primary school,0,Low,Confirmed,0772 309404,https://www.google.com/maps/search/Uganda+Martyrs+Primary+School-Lubaga+Uganda+Matyrs+primary+school+Kampala+Uganda,Not called,
Kawempe Day & Boarding Primary School,+256757136852,,Primary school · Kawempe,mobile,yes,School / Education,Primary school,Kawempe,9GJW+2X6,0,Low,Confirmed,0757 136852,https://www.google.com/maps/search/Kawempe+Day+%26+Boarding+Primary+School+9GJW%2B2X6+Kampala+Uganda,Not called,
DIVINE JUNIOR SCHOOL KAWEMPE,+256772385943,,Junior school · Kawempe,mobile,yes,School / Education,Junior school,Kawempe,,0,Low,Confirmed,0772 385943,https://www.google.com/maps/search/DIVINE+JUNIOR+SCHOOL+KAWEMPE++Kampala+Uganda,Not called,
Kakungulu Parents Primary School Kawempe,+256740772377,,Primary school · Kawempe,mobile,yes,School / Education,Primary school,Kawempe,Kawempe-Tula Road,0,Low,Confirmed,0740 772377,https://www.google.com/maps/search/Kakungulu+Parents+Primary+School+Kawempe+Kawempe-Tula+Road+Kampala+Uganda,Not called,
Kazo Muslim High School,+256772886889,,Middle school · Kawempe,mobile,yes,School / Education,Middle school,Kawempe,,0,Low,Confirmed,0772 886889,https://www.google.com/maps/search/Kazo+Muslim+High+School++Kampala+Uganda,Not called,
Kampala HiIl Academy,+256753613815,,Primary school · Kawempe,mobile,yes,School / Education,Primary school,Kawempe,9H2J+VPG,0,Low,Confirmed,0753 613815,https://www.google.com/maps/search/Kampala+HiIl+Academy+9H2J%2BVPG+Kampala+Uganda,Not called,
Indoboli Junior School,+256787872656,,Primary school · Ntinda / Kisaasi,mobile,yes,School / Education,Primary school,Ntinda / Kisaasi,"Kisaasi Ntinda, Kyanja Rd",0,Low,Confirmed,0787 872656,https://www.google.com/maps/search/Indoboli+Junior+School+Kisaasi+Ntinda%2C+Kyanja+Rd+Kampala+Uganda,Not called,
Springs Junior School,+256700575057,,Elementary school · Ntinda / Kisaasi,mobile,yes,School / Education,Elementary school,Ntinda / Kisaasi,68a Ntinda - Kisaasi Rd,0,Low,Confirmed,0700 575057,https://www.google.com/maps/search/Springs+Junior+School+68a+Ntinda+-+Kisaasi+Rd+Kampala+Uganda,Not called,
Kids world international school Uganda,+256782688894,,Primary school · Ntinda / Kisaasi,mobile,yes,School / Education,Primary school,Ntinda / Kisaasi,Kisaasi - Kyanja Rd,0,Low,Confirmed,0782 688894,https://www.google.com/maps/search/Kids+world+international+school+Uganda+Kisaasi+-+Kyanja+Rd+Kampala+Uganda,Not called,
Police Children School Ntinda,+256775266221,,Elementary school · Ntinda / Kisaasi,mobile,yes,School / Education,Elementary school,Ntinda / Kisaasi,34u Ntinda Police Barracks,0,Low,Confirmed,0775 266221,https://www.google.com/maps/search/Police+Children+School+Ntinda+34u+Ntinda+Police+Barracks+Kampala+Uganda,Not called,
NANSANA MUSLIM PRIMARY SCHOOL,+256755078894,,Primary school · Nansana,mobile,yes,School / Education,Primary school,Nansana,Hoima road,0,Low,Confirmed,0755 078894,https://www.google.com/maps/search/NANSANA+MUSLIM+PRIMARY+SCHOOL+Hoima+road+Kampala+Uganda,Not called,
The Windsor School,+256414698987,,Primary school · Nansana,landline,no,School / Education,Primary school,Nansana,,0,Low,Confirmed,041 4698987,https://www.google.com/maps/search/The+Windsor+School++Kampala+Uganda,Not called,
Alliance High School - Nansana,+256756624222,,Middle school · Nansana,mobile,yes,School / Education,Middle school,Nansana,9GJF+MR3,0,Low,Confirmed,0756 624222,https://www.google.com/maps/search/Alliance+High+School+-+Nansana+9GJF%2BMR3+Kampala+Uganda,Not called,
Hellen visas and study consult,+256770529177,,Educational consultant · Kampala,mobile,yes,School / Education,Educational consultant,Kampala,Parliament Ave,0,Low,Confirmed,0770 529177,https://www.google.com/maps/search/Hellen+visas+and+study+consult+Parliament+Ave+Kampala+Uganda,Not called,
Bashasha and Co. Advocates,+256414257329,,Legal services · Kampala,landline,no,Consultancy / Professional services,Legal services,Kampala,,28,High,Confirmed,041 4257329,https://www.google.com/maps/search/Bashasha+and+Co.+Advocates++Kampala+Uganda,Not called,
"Tumusiime, Kabega & Co. Advocates",+256414230478,,Legal services · Kampala,landline,no,Consultancy / Professional services,Legal services,Kampala,Plot 9 Yusuf Lule Road,18,Medium,Confirmed,041 4230478,https://www.google.com/maps/search/Tumusiime%2C+Kabega+%26+Co.+Advocates+Plot+9+Yusuf+Lule+Road+Kampala+Uganda,Not called,
"MUZIRA Audit, Accounting & Tax Consulting Firm",+256782210277,,Accounting firm · Kampala,mobile,yes,Consultancy / Professional services,Accounting firm,Kampala,Parliament Ave,17,Medium,Confirmed,0782 210277,https://www.google.com/maps/search/MUZIRA+Audit%2C+Accounting+%26+Tax+Consulting+Firm+Parliament+Ave+Kampala+Uganda,Not called,
Ekirapa & Company Advocates,+256776313571,,Law firm · Kampala,mobile,yes,Consultancy / Professional services,Law firm,Kampala,Portal Ave,17,Medium,Confirmed,0776 313571,https://www.google.com/maps/search/Ekirapa+%26+Company+Advocates+Portal+Ave+Kampala+Uganda,Not called,
SILICON ADVOCATES,+256393206510,,Law firm · Kampala,landline,no,Consultancy / Professional services,Law firm,Kampala,"plot 36, Kyadondo Road, Nakasero",11,Medium,Confirmed,039 3206510,https://www.google.com/maps/search/SILICON+ADVOCATES+plot+36%2C+Kyadondo+Road%2C+Nakasero+Kampala+Uganda,Not called,
EFICON Consulting Limited,+256393516950,,Business management consultant · Kampala,landline,no,Consultancy / Professional services,Business management consultant,Kampala,"8HCQ+82R, Clement Hill Rd",10,Medium,Confirmed,039 3516950,https://www.google.com/maps/search/EFICON+Consulting+Limited+8HCQ%2B82R%2C+Clement+Hill+Rd+Kampala+Uganda,Not called,
WEB Advocates & Solicitors,+256756027530,,Law firm · Kampala,mobile,yes,Consultancy / Professional services,Law firm,Kampala,"Nwanzi Courts; Block 3, Ground Floor, John Babiha (Acacia) Ave",9,Medium,Confirmed,0756 027530,https://www.google.com/maps/search/WEB+Advocates+%26+Solicitors+Nwanzi+Courts%3B+Block+3%2C+Ground+Floor%2C+John+Babiha+%28Acacia%29+Ave+Kampala+Uganda,Not called,
Xxl Agency,+256771066993,,Travel agency · Kampala,mobile,yes,Consultancy / Professional services,Travel agency,Kampala,"The cube, 208 second floor",9,Medium,Confirmed,0771 066993,https://www.google.com/maps/search/Xxl+Agency+The+cube%2C+208+second+floor+Kampala+Uganda,Not called,
Lukwago and Co. Advocates,+256704234674,,Law firm · Kampala,mobile,yes,Consultancy / Professional services,Law firm,Kampala,15A Clement Hill Rd,8,Medium,Confirmed,0704 234674,https://www.google.com/maps/search/Lukwago+and+Co.+Advocates+15A+Clement+Hill+Rd+Kampala+Uganda,Not called,
KSK Associates,+256414237090,,Accounting firm · Kampala,landline,no,Consultancy / Professional services,Accounting firm,Kampala,,4,Low,Confirmed,041 4237090,https://www.google.com/maps/search/KSK+Associates++Kampala+Uganda,Not called,
Aequitas Advocates,+256200922551,,Law firm · Kampala,landline,no,Consultancy / Professional services,Law firm,Kampala,"Plot 18 AD, Houses 7 & 9, Off Kyadondo Rd",4,Low,Confirmed,0200 922551,https://www.google.com/maps/search/Aequitas+Advocates+Plot+18+AD%2C+Houses+7+%26+9%2C+Off+Kyadondo+Rd+Kampala+Uganda,Not called,
